#w_matsubara  g11_Re     g11_Im     g12_Re     g12_Im     g14_Re     g14_Im     
 0.0314159  0.0001847 -0.0076459  0.0933933 -0.0000199 -0.0000055 -0.0000486
 0.0942478  0.0001714 -0.0229175  0.0932808 -0.0000246 -0.0000110 -0.0001009
 0.1570796  0.0001381 -0.0380496  0.0930639 -0.0000277 -0.0000159 -0.0001521
 0.2199115  0.0000872 -0.0529523  0.0927450 -0.0000290 -0.0000199 -0.0002020
 0.2827433  0.0000225 -0.0675423  0.0923271 -0.0000285 -0.0000228 -0.0002509
 0.3455752 -0.0000515 -0.0817440  0.0918144 -0.0000262 -0.0000245 -0.0002986
 0.4084070 -0.0001300 -0.0954916  0.0912115 -0.0000221 -0.0000250 -0.0003452
 0.4712389 -0.0002070 -0.1087299  0.0905237 -0.0000165 -0.0000242 -0.0003908
 0.5340708 -0.0002777 -0.1214158  0.0897568 -0.0000097 -0.0000223 -0.0004352
 0.5969026 -0.0003370 -0.1335161  0.0889168 -0.0000018 -0.0000196 -0.0004781
 0.6597345 -0.0003813 -0.1450096  0.0880101  0.0000068 -0.0000162 -0.0005194
 0.7225663 -0.0004078 -0.1558848  0.0870434  0.0000156 -0.0000123 -0.0005590
 0.7853982 -0.0004152 -0.1661383  0.0860229  0.0000245 -0.0000083 -0.0005967
 0.8482300 -0.0004034 -0.1757754  0.0849550  0.0000331 -0.0000044 -0.0006321
 0.9110619 -0.0003736 -0.1848082  0.0838463  0.0000413 -0.0000008 -0.0006650
 0.9738937 -0.0003284 -0.1932517  0.0827026  0.0000487  0.0000021 -0.0006953
 1.0367256 -0.0002721 -0.2011263  0.0815297  0.0000553  0.0000044 -0.0007228
 1.0995574 -0.0002085 -0.2084540  0.0803330  0.0000609  0.0000059 -0.0007471
 1.1623893 -0.0001428 -0.2152578  0.0791175  0.0000656  0.0000065 -0.0007680
 1.2252211 -0.0000796 -0.2215620  0.0778880  0.0000694  0.0000065 -0.0007855
 1.2880530 -0.0000238 -0.2273907  0.0766487  0.0000722  0.0000058 -0.0007994
 1.3508848  0.0000213 -0.2327679  0.0754036  0.0000743  0.0000048 -0.0008096
 1.4137167  0.0000525 -0.2377159  0.0741561  0.0000756  0.0000036 -0.0008164
 1.4765485  0.0000682 -0.2422580  0.0729095  0.0000762  0.0000024 -0.0008197
