#w_matsubara  g11_Re     g11_Im     g12_Re     g12_Im     g14_Re     g14_Im
0.0314159 -0.0270333 -0.8141503  0.2259497 -0.0790414 -0.0414702 -0.0398281
0.0942478 -0.0372761 -0.8067243  0.2215986 -0.0777576 -0.0236061 -0.0373433
0.1570796 -0.0326185 -0.7848998  0.2091378 -0.0663671 -0.0142533 -0.0311559
0.2199115 -0.0270995 -0.7616872  0.1949785 -0.0566535 -0.0094295 -0.0257649
0.2827433 -0.0218579 -0.7389736  0.1817004 -0.0494955 -0.0066790 -0.0214827
0.3455752 -0.0169552 -0.7177540  0.1695205 -0.0439550 -0.0049974 -0.0181704
0.4084070 -0.0130043 -0.6982359  0.1587129 -0.0393349 -0.0039614 -0.0155282
0.4712389 -0.0092395 -0.6792032  0.1489728 -0.0353034 -0.0031627 -0.0133238
0.5340708 -0.0065849 -0.6619704  0.1405210 -0.0322556 -0.0026656 -0.0115862
0.5969026 -0.0043663 -0.6458262  0.1326346 -0.0294440 -0.0022700 -0.0101166
0.6597345 -0.0023942 -0.6303543  0.1254397 -0.0275332 -0.0020086 -0.0088794
0.7225663 -0.0012561 -0.6155338  0.1193486 -0.0259071 -0.0018055 -0.0078569
0.7853982  0.0003674 -0.6026323  0.1135666 -0.0242234 -0.0015848 -0.0070191
0.8482300  0.0016674 -0.5895473  0.1082382 -0.0228063 -0.0014348 -0.0062565
0.9110619  0.0017514 -0.5771529  0.1031354 -0.0216442 -0.0013185 -0.0055799
0.9738937  0.0024470 -0.5654732  0.0987556 -0.0204472 -0.0012014 -0.0050206
1.0367256  0.0027757 -0.5540825  0.0945095 -0.0197021 -0.0011292 -0.0045207
1.0995574  0.0032758 -0.5434925  0.0907979 -0.0189190 -0.0010427 -0.0041107
1.1623893  0.0025538 -0.5335763  0.0872047 -0.0184216 -0.0010108 -0.0037310
1.2252211  0.0024026 -0.5238128  0.0837907 -0.0172999 -0.0009035 -0.0033723
1.2880530  0.0021139 -0.5141540  0.0806994 -0.0167273 -0.0008478 -0.0030816
1.3508848  0.0021915 -0.5055711  0.0778660 -0.0163453 -0.0008126 -0.0028289
1.4137167  0.0013656 -0.4978889  0.0751231 -0.0156559 -0.0007541 -0.0025952
1.4765485  0.0013412 -0.4893608  0.0726446 -0.0153338 -0.0007145 -0.0023889
1.5393804  0.0007301 -0.4822489  0.0704708 -0.0148742 -0.0006788 -0.0022162
1.6022123  0.0000269 -0.4743281  0.0677984 -0.0146664 -0.0006561 -0.0020118
1.6650441 -0.0008479 -0.4665708  0.0659117 -0.0141477 -0.0006189 -0.0018791
1.7278760 -0.0014017 -0.4601435  0.0635788 -0.0139107 -0.0005927 -0.0017248
1.7907078 -0.0019285 -0.4531841  0.0619348 -0.0134897 -0.0005564 -0.0016066
1.8535397 -0.0020606 -0.4466763  0.0599797 -0.0133609 -0.0005429 -0.0014966
1.9163715 -0.0027628 -0.4403209  0.0583703 -0.0131091 -0.0005159 -0.0013865
1.9792034 -0.0044459 -0.4344415  0.0565898 -0.0128316 -0.0004883 -0.0012869
2.0420352 -0.0051660 -0.4290681  0.0549597 -0.0126113 -0.0004680 -0.0011953
2.1048671 -0.0052071 -0.4223677  0.0534667 -0.0122987 -0.0004329 -0.0011153
2.1676989 -0.0055886 -0.4175517  0.0520143 -0.0121713 -0.0004303 -0.0010463
2.2305308 -0.0063367 -0.4124403  0.0506854 -0.0120170 -0.0004104 -0.0009888
2.2933626 -0.0071097 -0.4078854  0.0493489 -0.0115316 -0.0003855 -0.0009230
2.3561945 -0.0079506 -0.4025250  0.0480771 -0.0114127 -0.0003723 -0.0008591
2.4190263 -0.0083091 -0.3965876  0.0468174 -0.0111702 -0.0003445 -0.0007986
2.4818582 -0.0088440 -0.3922573  0.0455663 -0.0113258 -0.0003533 -0.0007529
2.5446900 -0.0092792 -0.3882493  0.0445730 -0.0109188 -0.0003306 -0.0007007
