model	U	wc	method	eb1-g1_1	eb2-g1_1	eb3-g1_1	eb4-g1_1	tb1-g1_1	tb2-g1_1	tb3-g1_1	tb4-g1_1	eb1-g2_1	eb2-g2_1	eb3-g2_1	eb4-g2_1	tb1-g2_1	tb2-g2_1	tb3-g2_1	tb4-g2_1	mu	t	ave_mu	ave_t	sector_sb1	consistency_sb1	sector_sb2	consistency_sb2	Sub-bath 1 weight	Sub-bath 2 weight	opt_iterations	opt_time_ratio	distance	session_id	datetime
4s_4b_2sb	4.0	2.0	subplex	1.3410965086895525	-0.08885921955022236	0.06264623195728797	-0.6871802404540162	-0.5803326951895309	0.2624312245142195	0.22386546434179772	0.5244652849412847	-0.0878751226642297	1.3409008400839055	-0.6861029317118406	0.06293360321231378	-0.26240550672764057	0.5802541371028402	0.5246229302851535	0.22327168641959153	1.0	1.0	0.8778957005197672	-0.9835274407250183	R0:N8:S0:1	N	R0:N6:S0:0.102/R0:N8:S0:0.898	N	0.500000	0.500000	736	0.272	3.239384796e-04	mu_sweep_20250904_103945	2025-09-04@10:40
4s_4b_2sb	4.0	2.0	subplex	1.3468920295119151	-0.09188608945799775	0.05866636872496524	-0.6987377676799225	-0.5807418919885194	0.2651260410061331	0.21744571467318985	0.5263900456425057	-0.0918202301007571	1.3480901510929697	-0.6991249566594999	0.059415901168932306	-0.26565118338811733	0.5808180609748805	0.5263948592076854	0.2171422793264369	1.0204081632653061	1.0	0.8821280451096261	-0.9845651878501213	R0:N8:S0:1	Y	R0:N8:S0:0.928/R0:N6:S0:0.0721	N	0.500000	0.500000	710	0.231	3.048366899e-04	mu_sweep_20250904_103945	2025-09-04@10:40
4s_4b_2sb	4.0	2.0	subplex	1.3527285168203158	-0.09531598593913959	0.05498379395516449	-0.7112094730410823	-0.5812407154955308	0.26834253852966455	0.21063960100798465	0.5281726680119814	-0.0961344222392638	1.3540544643504595	-0.7122501158018704	0.05531319683307111	-0.26861351280365753	0.5813666649356296	0.5280555526100101	0.21109405824988042	1.0408163265306123	1.0	0.8863915528377824	-0.985541837508749	R0:N8:S0:1	Y	R0:N6:S0:0.0456/R0:N8:S0:0.954	N	0.500000	0.500000	708	0.220	2.860660401e-04	mu_sweep_20250904_103945	2025-09-04@10:40
4s_4b_2sb	4.0	2.0	subplex	1.3588082950880316	-0.09962468213049172	0.05136957767677054	-0.7245837059329698	-0.5818692770186507	0.271750408237223	0.20388040288512024	0.5298527406456885	-0.1004047878873942	1.3585772897536885	-0.7253230359777627	0.050775649616582486	-0.271566175784292	0.5819158099361845	0.5297331520206536	0.20452835060251495	1.0612244897959184	1.0	0.8907740432568615	-0.9865195106472916	R0:N8:S0:1	Y	R0:N6:S0:0.0284/R0:N8:S0:0.972	N	0.500000	0.500000	740	0.235	2.675223432e-04	mu_sweep_20250904_103945	2025-09-04@10:40
4s_4b_2sb	4.0	2.0	subplex	1.3639992382520816	-0.10501555479442881	0.04708206822021454	-0.7391252385448008	-0.5825792619125271	0.27515777757974696	0.19729223747162647	0.5314038914400463	-0.10458069017048158	1.3627406366562722	-0.7381999862390263	0.046471188961205265	-0.27469541175915096	0.5824565030081398	0.5314746466402642	0.1972392321299502	1.0816326530612246	1.0	0.8953106209038328	-0.9874647091710869	R0:N8:S0:1	Y	R0:N8:S0:0.981/R0:N6:S0:0.019	N	0.500000	0.500000	712	0.252	2.493179546e-04	mu_sweep_20250904_103945	2025-09-04@10:40
4s_4b_2sb	4.0	2.0	subplex	1.3679661590157812	-0.11053484099865747	0.0421981773228286	-0.7533138475069556	-0.5832214621271493	0.2782433730274281	0.1904977200762791	0.5329236662145641	-0.10959165997524245	1.367470504822563	-0.7521989554096279	0.04239496527442997	-0.27816117710994137	0.5831310290989614	0.5330803209281456	0.18981701589910308	1.1020408163265305	1.0	0.8999496953913354	-0.9883070731305895	R0:N8:S0:1	Y	R0:N8:S0:0.988/R0:N6:S0:0.0122	N	0.500000	0.500000	721	0.229	2.317760528e-04	mu_sweep_20250904_103945	2025-09-04@10:41
4s_4b_2sb	4.0	2.0	subplex	1.3718211483311311	-0.11577964598757184	0.03738183370715132	-0.7669976053991125	-0.5838515092983144	0.2812382898744614	0.18318496691145025	0.5344384099208372	-0.1156111184083746	1.3724521820828135	-0.7670757474918246	0.03802334993225552	-0.281532553723814	0.5838821380419894	0.5344609264941251	0.182854010203513	1.1224489795918366	1.0	0.9046414972754121	-0.9890144999164661	R0:N8:S0:1	Y	R0:N8:S0:1	Y	0.500000	0.500000	714	0.314	2.150705474e-04	mu_sweep_20250904_103945	2025-09-04@10:41
4s_4b_2sb	4.0	2.0	subplex	1.3750762599478716	-0.121468318756434	0.03283655622591081	-0.7812554625837709	-0.5845205745324213	0.28444106820340587	0.17556076528253972	0.5358705698819815	-0.12224598959812147	1.3759281973215383	-0.7824956629572744	0.03296935961820942	-0.28472677520407663	0.5846470719847756	0.5357408369237731	0.1760179207574978	1.1428571428571428	1.0	0.9095027757261536	-0.9897285104170157	R0:N8:S0:1	Y	R0:N8:S0:1	Y	0.500000	0.500000	702	0.258	1.991100968e-04	mu_sweep_20250904_103945	2025-09-04@10:41
4s_4b_2sb	4.0	2.0	subplex	1.3783139486753848	-0.12829089588100936	0.02810029551180969	-0.7966720923417979	-0.5852786957507348	0.28773142099378085	0.16814340550019152	0.5371448267233285	-0.12890703086730523	1.3781956414563026	-0.7974780022849403	0.02760084158214006	-0.28774339691639983	0.5853226955151616	0.5370324088035079	0.16865692308412358	1.163265306122449	1.0	0.9146154405563574	-0.9903742728097299	R0:N8:S0:1	Y	R0:N8:S0:1	Y	0.500000	0.500000	718	0.287	1.839902029e-04	mu_sweep_20250904_103945	2025-09-04@10:41
4s_4b_2sb	4.0	2.0	subplex	1.3809028583574998	-0.1361688999554984	0.022624741958388657	-0.8129786420461089	-0.5860468179452613	0.2909225827767038	0.16094468175828847	0.5382646926360419	-0.1358177165780979	1.3802985077709642	-0.8123603384157239	0.022360804634799114	-0.290728252597798	0.585975949569322	0.5383240374891887	0.16076711976198232	1.183673469387755	1.0	0.9199623778020702	-0.9908701831465683	R0:N8:S0:1	Y	R0:N8:S0:1	Y	0.500000	0.500000	702	0.281	1.699899938e-04	mu_sweep_20250904_103945	2025-09-04@10:42
