E0_1	E_kin	GS_consistency	U	U_1_ave	eb1-g1_1	eb1-g1_1_ave	eb2-g1_1	eb2-g1_1_ave	eb3-g1_1	eb3-g1_1_ave	eb4-g1_1	eb4-g1_1_ave	eb5-g1_1	eb5-g1_1_ave	eb6-g1_1	eb6-g1_1_ave	eb7-g1_1	eb7-g1_1_ave	eb8-g1_1	eb8-g1_1_ave	githash	model	mu	mu_1_ave	ave_mu	n_1	script	sector_1	t	t_1_ave	t_ave	tb1-g1_1	tb1-g1_1_ave	tb2-g1_1	tb2-g1_1_ave	tb3-g1_1	tb3-g1_1_ave	tb4-g1_1	tb4-g1_1_ave	tb5-g1_1	tb5-g1_1_ave	tb6-g1_1	tb6-g1_1_ave	tb7-g1_1	tb7-g1_1_ave	tb8-g1_1	tb8-g1_1_ave	time	version
-9.46789053	-4.116765436	Y	4	0.08024092203	0.9561641537	0.04238282457	-0.5978060248	1.902884943	0.08787598514	0.04514353086	-0.06958225853	1.876415288	0.08965252864	0.7438479898	-0.5996249654	1.910238764	0.9678340426	0.1316166756	-0.07038378253	1.820188249	c985f85	4s_8b_1sb	1	0.8818204337	0.8714466375	0.8818204334	model_1D_4s_8b.py	R0:N12:S0:1	1	-0.7959852095	-1.029191359	0.4040142811	-0.4746066386	0.3480883441	-0.8661863559	0.1839931292	-0.3804610305	0.1826400414	-0.7536405507	-0.1858764746	1.551870681	0.3484956515	-0.6611624238	0.4044304772	-0.95700907	-0.1824510097	0.7158592438	2025-09-03@09:57	v2.10.6
-9.515344848	-4.115022263	Y	4	0.08079729703	0.9619016941	0.0417449015	-0.5976686304	1.901797893	0.08785148994	0.04416314959	-0.06944905085	1.876890541	0.08745367241	0.7385202329	-0.5984237743	1.909682049	0.965560236	0.1309817083	-0.07051529895	1.818038442	c985f85	4s_8b_1sb	1.015102041	0.8845452707	0.8743388455	0.8845452704	model_1D_4s_8b.py	R0:N12:S0:1	1	-0.7962833623	-1.028755566	0.4027610463	-0.4715706253	0.349776627	-0.8703749543	0.1819764297	-0.3756573195	0.1825227359	-0.7533719524	-0.1830808144	1.539043717	0.3498905494	-0.6606992024	0.4030697459	-0.9560513878	-0.1819741827	0.7139485878	2025-09-03@10:05	v2.10.6
-9.628858595	-4.112887301	Y	4	0.08159729842	0.9633904269	0.04115282641	-0.6042139762	1.901141086	0.08587892353	0.042574457	-0.07134014442	1.876784549	0.08298630079	0.7326308522	-0.6062285481	1.910514199	0.9595082302	0.1306998061	-0.07259626523	1.810949613	c985f85	4s_8b_1sb	1.037755102	0.8883881527	0.8787691655	0.8883881526	model_1D_4s_8b.py	R0:N12:S0:1	1	-0.7966592335	-1.028221825	0.4013240392	-0.4688397116	0.3521800524	-0.8729939964	0.1784607978	-0.3678844845	0.1835531666	-0.756543569	-0.1782404093	1.517508483	0.3518528167	-0.6555632196	0.4015764248	-0.9567548321	-0.1834432662	0.7186253603	2025-09-03@10:16	v2.10.6
-9.697435858	-4.110571146	Y	4	0.08216539927	0.963814356	0.04078659889	-0.6074979281	1.900893302	0.08342610634	0.04127018551	-0.07301779581	1.877658769	0.08134373004	0.7263330569	-0.6099675206	1.911002113	0.9623624914	0.1295159639	-0.07323358089	1.807767578	c985f85	4s_8b_1sb	1.052857143	0.891193108	0.881722024	0.8911931078	model_1D_4s_8b.py	R0:N12:S0:1	1	-0.7970516049	-1.027642787	0.4003781581	-0.4672395546	0.3534992923	-0.873812539	0.1754806066	-0.3616736224	0.1840916817	-0.7562099122	-0.1752253665	1.50337764	0.3535204211	-0.6520813679	0.4007051007	-0.954165629	-0.1841269238	0.7184789227	2025-09-03@10:22	v2.10.6
-9.80780316	-4.106613035	Y	4	0.08302660177	0.9679264481	0.04018774931	-0.6151859037	1.900916572	0.0796680296	0.03934780662	-0.0755767361	1.878862758	0.07859868622	0.7160846621	-0.6157466523	1.911938263	0.9664011656	0.1279624142	-0.07494020807	1.802948131	c985f85	4s_8b_1sb	1.075510204	0.8954379109	0.8861189566	0.8954379107	model_1D_4s_8b.py	R0:N12:S0:1	1	-0.7976691202	-1.026653259	0.3993251823	-0.464599909	0.3556845426	-0.8736392016	0.1709674938	-0.3523573952	0.1851743224	-0.7562021784	-0.1702122663	1.480766741	0.3557507639	-0.6460395494	0.39957654	-0.9510428059	-0.1853941808	0.7179192815	2025-09-03@13:25	v2.10.6
-9.883252351	-4.103777737	Y	4	0.08359779045	0.9709343839	0.03981595581	-0.6209689365	1.900983724	0.07708068698	0.03800226987	-0.07706957664	1.879665131	0.07627834089	0.7090594221	-0.6195780894	1.912621562	0.9671020389	0.1272120158	-0.07665002769	1.799604912	c985f85	4s_8b_1sb	1.090612245	0.898258752	0.8890670692	0.8982587518	model_1D_4s_8b.py	R0:N12:S0:1	1	-0.7980784261	-1.025944434	0.3987616731	-0.4629878447	0.3572865751	-0.8733638597	0.1676233299	-0.345569158	0.1858890256	-0.756151032	-0.1664490923	1.464677357	0.3569952568	-0.6417266561	0.3986702308	-0.9498355705	-0.1862495835	0.7173907208	2025-09-03@13:33	v2.10.6
-9.995457272	-4.099184001	Y	4	0.08447309957	0.9759203831	0.03917343443	-0.6256654178	1.900603258	0.07440271539	0.03597440219	-0.07813782797	1.881435521	0.07313633242	0.6966996523	-0.6292170992	1.914448073	0.969614643	0.1260254156	-0.07962445243	1.79554702	c985f85	4s_8b_1sb	1.113265306	0.902523306	0.8934577602	0.9025233059	model_1D_4s_8b.py	R0:N12:S0:1	1	-0.7987058977	-1.024796	0.3974763789	-0.4600812675	0.3596658099	-0.8747202508	0.1627470846	-0.3353518353	0.1862538931	-0.7537962708	-0.1613149112	1.441399686	0.3590457452	-0.6331547902	0.3975927873	-0.9478501276	-0.1878864397	0.7152198094	2025-09-03@13:45	v2.10.6
-10.07425411	-4.095332498	Y	4	0.0850897474	0.9774502551	0.03890349176	-0.6323457624	1.901194798	0.07114426905	0.03413064512	-0.08029588706	1.88301354	0.07199258603	0.6854148592	-0.6336587848	1.915567676	0.9759114748	0.1245851182	-0.08088822236	1.794903988	c985f85	4s_8b_1sb	1.128367347	0.9055714711	0.8963919305	0.905571471	model_1D_4s_8b.py	R0:N12:S0:1	1	-0.7992508194	-1.023833124	0.3971031319	-0.4590785483	0.361042088	-0.8723242626	0.1583989476	-0.3264961274	0.1874418709	-0.7529377735	-0.1581231843	1.425762216	0.3606048771	-0.6274453884	0.3968680077	-0.9445098236	-0.1884279989	0.7097653878	2025-09-03@13:56	v2.10.6
-10.17619745	-4.089591419	Y	4	0.08600582709	0.9907955886	0.03815773849	-0.6397500572	1.901291406	0.06985324286	0.03172589581	-0.08109454401	1.885408643	0.0690325808	0.6707464189	-0.637304219	1.916405021	0.9818914305	0.1230595935	-0.08233002733	1.793078415	c985f85	4s_8b_1sb	1.151020408	0.9100317169	0.9008106077	0.9100317167	model_1D_4s_8b.py	R0:N12:S0:1	1	-0.7999788413	-1.022397855	0.3966922179	-0.4557179019	0.3638145069	-0.8719372358	0.1531969225	-0.3150617691	0.1881225164	-0.7499960971	-0.1526162356	1.400613904	0.3630910318	-0.6213917498	0.3959272585	-0.9414530809	-0.1881182708	0.7015874532	2025-09-03@14:10	v2.10.6
-10.27165541	-4.086508806	Y	4	0.08654907265	0.9826758251	0.03805940928	-0.6445588968	1.901743468	0.06583768515	0.02965554159	-0.08413889276	1.886873559	0.06533418266	0.6637285452	-0.6483131505	1.918261452	0.9835126728	0.1224665354	-0.08586697144	1.78843635	c985f85	4s_8b_1sb	1.166122449	0.9126937848	0.9039823855	0.9126937847	model_1D_4s_8b.py	R0:N12:S0:1	1	-0.8004294455	-1.021627201	0.3954976399	-0.4554932126	0.3645117141	-0.8698828476	0.148034761	-0.3045342159	0.1892977919	-0.7497041792	-0.1484325464	1.382756833	0.3642791872	-0.6139145657	0.3957416919	-0.9407670961	-0.1899601549	0.7026631029	2025-09-03@14:19	v2.10.6
