model	U	wc	method	eb1-g1_1	eb2-g1_1	eb3-g1_1	eb4-g1_1	tb1-g1_1	tb2-g1_1	tb3-g1_1	tb4-g1_1	eb1-g2_1	eb2-g2_1	eb3-g2_1	eb4-g2_1	tb1-g2_1	tb2-g2_1	tb3-g2_1	tb4-g2_1	mu	t	ave_mu	ave_t	sector_sb1	consistency_sb1	sector_sb2	consistency_sb2	Sub-bath 1 weight	Sub-bath 2 weight	opt_iterations	opt_time_ratio	distance	session_id	datetime
4s_4b_2sb	4.0	2.0	bobyqa	0.9598773072822477	-0.6713198326744864	0.1040106254991486	-0.050614168280064015	0.5511379818466307	0.5193716369691237	0.283536894850697	0.23610940306347603	-0.050613687827032884	0.9598725628654448	-0.6713188564801471	0.10400662127429379	0.23610622075283222	0.551138453803338	0.5193719261269438	0.2835372399407318	1.0	1.0	0.8834356073673646	-1.0214650491835993	R0:N7:S1:0.36/R0:N7:S-1:0.36/R0:N8:S0:0.279	N	R0:N7:S1:0.251/R0:N8:S0:0.222/R0:N7:S-1:0.251/R0:N6:S0:0.275	N	0.500000	0.500000	340	0.089	5.720164471e-04	mu_sweep_20260220_095832	2026-02-20@09:59
4s_4b_2sb	4.0	2.0	bobyqa	0.9942349546871826	-0.6740419055099146	0.09318541652982154	-0.05744438022198822	0.5491441752888229	0.5207503140914529	0.26967831161390066	0.24787389974040513	-0.057446505688748296	0.9942342683544816	-0.6740420546106275	0.09318219830590231	0.24787065168344688	0.5491445964428809	0.5207502823584172	0.26968074749427334	1.0204081632653061	1.0	0.8879710379575786	-1.0163909333474062	R0:N7:S1:0.304/R0:N7:S-1:0.304/R0:N8:S0:0.393	N	R0:N7:S1:0.252/R0:N8:S0:0.26/R0:N7:S-1:0.252/R0:N6:S0:0.235	N	0.500000	0.500000	422	0.099	5.810726953e-04	mu_sweep_20260220_095832	2026-02-20@09:59
4s_4b_2sb	4.0	2.0	bobyqa	1.0681780853426224	-0.678882343233335	0.07972736444873661	-0.06872710142000912	0.5510926578007777	0.5233271199979502	0.2482120010330021	0.2602269562584219	-0.06873156505314612	1.0681978709961237	-0.678890510878722	0.0797380055265127	0.2602335734031473	0.5510928712031627	0.5233264929109428	0.24821336748006861	1.0408163265306123	1.0	0.89142368926186	-1.0081005137899905	R0:N7:S1:0.214/R0:N7:S-1:0.214/R0:N8:S0:0.572	N	R0:N7:S1:0.245/R0:N8:S0:0.342/R0:N7:S-1:0.245/R0:N6:S0:0.168	N	0.500000	0.500000	455	0.089	5.499797654e-04	mu_sweep_20260220_095832	2026-02-20@09:59
4s_4b_2sb	4.0	2.0	bobyqa	1.2401976103518177	-0.7025287350641148	0.06049856518370121	-0.088547271873264	0.5669842336066517	0.5283869812266844	0.21643676861884284	0.26916846104616227	-0.08840115435396932	1.239910225803531	-0.7022982512319285	0.060394757182071095	0.26908367395967203	0.5669591824357602	0.5284082869317109	0.2163729428379575	1.0612244897959184	1.0	0.8929588404551301	-0.9944148046293246	R0:N7:S1:0.0714/R0:N8:S0:0.857/R0:N7:S-1:0.0714	N	R0:N8:S0:0.569/R0:N7:S-1:0.187/R0:N6:S0:0.0578/R0:N7:S1:0.187	N	0.500000	0.500000	839	0.061	3.863914411e-04	mu_sweep_20260220_095832	2026-02-20@10:00
4s_4b_2sb	4.0	2.0	bobyqa	1.3294940241239572	-0.7318569528071576	0.0494080768580224	-0.10164170083554622	0.5782978399784362	0.5312929082653467	0.20014210277244626	0.2742190469450235	-0.10113429419573652	1.3286168642328064	-0.7310721983186526	0.04912272065583735	0.2739681479993025	0.5782057810427667	0.5313702548705139	0.19990069147280504	1.0816326530612246	1.0	0.8960999927446609	-0.9897528659688187	R0:N7:S1:0.0173/R0:N8:S0:0.965/R0:N7:S-1:0.0173	N	R0:N8:S0:0.726/R0:N7:S-1:0.127/R0:N6:S0:0.0207/R0:N7:S1:0.127	N	0.500000	0.500000	397	0.029	2.805678070e-04	mu_sweep_20260220_095832	2026-02-20@10:00
4s_4b_2sb	4.0	2.0	bobyqa	1.3646413741345973	-0.7539993992886264	0.04221044400254865	-0.11062173912177314	0.5832708936330754	0.5330170229124747	0.1906198359694143	0.2782906995686242	-0.10967907648124542	1.3641080375593706	-0.752838542273537	0.04242244438429344	0.278202619585349	0.583167454091614	0.5331676320610519	0.1899419070405973	1.1020408163265305	1.0	0.9001878537781902	-0.9888015473150941	R0:N9:S1:0.0111/R0:N8:S0:0.978/R0:N9:S-1:0.0111	N	R0:N8:S0:0.806/R0:N7:S-1:0.092/R0:N7:S1:0.092/R0:N6:S0:0.00977	N	0.500000	0.500000	129	0.020	2.317488487e-04	mu_sweep_20260220_095832	2026-02-20@10:00
4s_4b_2sb	4.0	2.0	bobyqa	1.3689053963425968	-0.7676080331835716	0.037476789282947454	-0.11582180724944371	0.5838762776796375	0.5344384054797581	0.18349861406467552	0.28124711028405514	-0.11559744067176533	1.3696197151103737	-0.7675837523648779	0.03812898684334342	0.28150355871976257	0.5839128392856141	0.5344802656457162	0.18316176698772588	1.1224489795918366	1.0	0.9047516921488422	-0.9894142934109773	R0:N8:S0:0.964/R0:N9:S1:0.0182/R0:N9:S-1:0.0182	N	R0:N8:S0:0.856/R0:N7:S1:0.0721/R0:N7:S-1:0.0721	N	0.500000	0.500000	829	0.089	2.152317548e-04	mu_sweep_20260220_095832	2026-02-20@10:00
4s_4b_2sb	4.0	2.0	bobyqa	1.373103937657808	-0.7817451007749598	0.033019793454809675	-0.12139564436010433	0.5845540178376986	0.5357832630714238	0.17614261210975524	0.2843771199356086	-0.12206660965428293	1.3739743633618366	-0.7827435407307086	0.03321778208605712	0.28460921048213866	0.584663635475635	0.5356757899301343	0.1765557787114508	1.1428571428571428	1.0	0.9094370054625925	-0.9900009075903803	R0:N8:S0:0.942/R0:N9:S1:0.0289/R0:N9:S-1:0.0289	N	R0:N8:S0:0.896/R0:N7:S1:0.0522/R0:N7:S-1:0.0522	N	0.500000	0.500000	521	0.042	1.994730388e-04	mu_sweep_20260220_095832	2026-02-20@10:01
4s_4b_2sb	4.0	2.0	bobyqa	1.3772977773422506	-0.7969982623827202	0.028444790280376095	-0.1279767584770653	0.5853241265566028	0.5369674794707334	0.1690440368463615	0.28759382645975057	-0.12856847853796147	1.3772806675613085	-0.7976423562421708	0.028016551141126833	0.2875552593851688	0.5853600846006152	0.536864031938851	0.16958543229373055	1.163265306122449	1.0	0.9143081925412159	-0.9905316158543948	R0:N8:S0:0.909/R0:N9:S1:0.0455/R0:N9:S-1:0.0455	N	R0:N8:S0:0.926/R0:N7:S1:0.0371/R0:N7:S-1:0.0371	N	0.500000	0.500000	516	0.056	1.845313997e-04	mu_sweep_20260220_095832	2026-02-20@10:01
4s_4b_2sb	4.0	2.0	bobyqa	1.381063645018966	-0.8129459577624409	0.02331830475708555	-0.1354226118036049	0.5861110732100213	0.5379834422197988	0.16233491115155146	0.2906606476430478	-0.13522262173828165	1.380458445561421	-0.8125301802567727	0.022961904869374453	0.29048126375949446	0.5860505866066571	0.5380132762881742	0.16228205210699645	1.183673469387755	1.0	0.9193307703211617	-0.9909441355527744	R0:N8:S0:0.853/R0:N9:S1:0.0735/R0:N9:S-1:0.0735	N	R0:N8:S0:0.947/R0:N7:S1:0.0263/R0:N7:S-1:0.0263	N	0.500000	0.500000	246	0.051	1.706335194e-04	mu_sweep_20260220_095832	2026-02-20@10:01
