model	E_kin	U	eb1-g1_1	eb2-g1_1	eb3-g1_1	eb4-g1_1	eb5-g1_1	eb6-g1_1	eb7-g1_1	eb8-g1_1	mu	t	tb1-g1_1	tb2-g1_1	tb3-g1_1	tb4-g1_1	tb5-g1_1	tb6-g1_1	tb7-g1_1	tb8-g1_1	ave_mu	ave_t	ave_U_1	ave_eb1-g1_1	ave_eb2-g1_1	ave_eb3-g1_1	ave_eb4-g1_1	ave_eb5-g1_1	ave_eb6-g1_1	ave_eb7-g1_1	ave_eb8-g1_1	ave_mu_1	ave_t_1	ave_tb1-g1_1	ave_tb2-g1_1	ave_tb3-g1_1	ave_tb4-g1_1	ave_tb5-g1_1	ave_tb6-g1_1	ave_tb7-g1_1	ave_tb8-g1_1	E0_1	sector_1	n_1	githash	version	GS_consistency	method	iterations	dist_function	convergence	script	time
4s_8b_1sb	-0.96776719	4	0.82000371	-0.8343003	1.7929992	-1.8261317	0.85300385	-0.85534672	1.9227934	-1.9298442	2	1	0.26383284	0.27154087	0.39234577	0.38767532	0.28393736	-0.2852259	0.38452047	0.38369748	0.99999979	-0.96776719	0.10255003	0.012165878	1.9602514	0.014902253	1.9653294	0.042575047	1.9861389	0.031972146	1.9867047	0.99999007	-0.82151572	-0.2723588	-0.57668473	-0.30591699	-0.55326134	-0.59725137	0.29089651	-0.53205745	-0.28927911	-21.399049	R0:N12:S0:1	0.99999007	b8bd2d5	v2.4.7	Y	fixed_point	14	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@10:17
4s_8b_1sb	-0.96778067	4	0.84007478	-0.81262549	1.8194467	-1.8151266	0.87368911	-0.83804201	1.9581961	-1.9308022	1.9795918	1	0.26405314	0.27171436	0.39289179	0.38844304	0.28481382	-0.287417	0.38511645	0.3834053	1.0000001	-0.96778067	0.10255907	0.012189901	1.9601428	0.014897408	1.9654125	0.042826941	1.9859556	0.031758549	1.9868649	0.99998786	-0.82150919	-0.27261435	-0.57743425	-0.30587627	-0.55268027	-0.59901198	0.2928208	-0.5303908	-0.28757643	-21.220334	R0:N12:S0:1	0.99998786	b8bd2d5	v2.4.7	Y	fixed_point	5	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@10:18
4s_8b_1sb	-0.96778189	4	0.85792678	-0.79473832	1.8349291	-1.7974448	0.88920716	-0.81680443	1.969948	-1.9181407	1.9591837	1	0.26283606	0.27281552	0.3935439	0.38755404	0.28240566	-0.28749831	0.38715076	0.38401335	0.99999987	-0.96778189	0.10255828	0.012099837	1.9599296	0.014984954	1.9656334	0.042330012	1.985939	0.032276448	1.9868737	0.99998328	-0.8215066	-0.27159472	-0.57904298	-0.30676243	-0.55093927	-0.59539571	0.29298187	-0.53461873	-0.2874981	-20.999929	R0:N12:S0:1	0.99998328	b8bd2d5	v2.4.7	Y	fixed_point	5	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@10:19
4s_8b_1sb	-0.96779086	4	0.87722271	-0.7756569	1.8595594	-1.7917667	0.90899643	-0.79838789	1.9922379	-1.9062166	1.9387755	1	0.26260273	0.27420954	0.39439101	0.38758957	0.28225878	-0.28863798	0.38756692	0.38355199	1.0000002	-0.96779086	0.10256343	0.012088291	1.9595767	0.015016454	1.9659668	0.042315123	1.985847	0.032306392	1.9869597	0.99998087	-0.82150391	-0.27144613	-0.58161333	-0.30708641	-0.5483881	-0.59527598	0.29394794	-0.53488258	-0.28657304	-20.808678	R0:N12:S0:1	0.99998087	b8bd2d5	v2.4.7	Y	fixed_point	10	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@10:22
4s_8b_1sb	-0.96778003	4	0.89943861	-0.75627253	1.8823327	-1.7690486	0.93156285	-0.77824081	2.0003636	-1.8720213	1.9183673	1	0.26351759	0.27444659	0.39363583	0.38711923	0.28247653	-0.2882111	0.38599315	0.38249102	1.0000004	-0.96778003	0.10255631	0.01215628	1.9595543	0.014940494	1.9659974	0.042280008	1.9858921	0.032303857	1.986943	0.99998314	-0.82150906	-0.27222332	-0.58180012	-0.30631916	-0.54811801	-0.59509683	0.29349944	-0.53477111	-0.28673492	-20.533373	R0:N12:S0:1	0.99998314	b8bd2d5	v2.4.7	Y	fixed_point	10	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@10:24
4s_8b_1sb	-0.96778746	4	0.91790215	-0.73458731	1.8984911	-1.7486388	0.94744308	-0.75884225	2.0239673	-1.8625029	1.8979592	1	0.26247278	0.27401544	0.39427787	0.38753092	0.28102829	-0.28904349	0.38790891	0.38272683	1.0000003	-0.96778746	0.10256037	0.012077512	1.9596225	0.015022435	1.9659241	0.042055867	1.9858197	0.032556797	1.9869969	0.99998105	-0.8215067	-0.27132497	-0.5812761	-0.30714277	-0.54871101	-0.59339307	0.29424327	-0.53688049	-0.28615997	-20.310152	R0:N12:S0:1	0.99998105	b8bd2d5	v2.4.7	Y	fixed_point	5	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@10:25
4s_8b_1sb	-0.96778798	4	0.93336264	-0.71632484	1.9185921	-1.7389895	0.96562009	-0.73921524	2.0300058	-1.8453543	1.877551	1	0.26060176	0.27539632	0.39611338	0.38724261	0.27923102	-0.28964703	0.38859808	0.38211428	1.0000013	-0.96778798	0.10256108	0.011948486	1.9593118	0.015164468	1.9662207	0.041621456	1.9857687	0.032983532	1.9870593	0.99998039	-0.82150497	-0.26983513	-0.58355751	-0.30858614	-0.54640593	-0.59026969	0.29478476	-0.54026933	-0.28548808	-20.099283	R0:N12:S0:1	0.99998039	b8bd2d5	v2.4.7	Y	fixed_point	6	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@10:26
4s_8b_1sb	-0.96773178	4	0.93993644	-0.67614646	1.8771437	-1.6420591	0.97432164	-0.68748206	1.9631274	-1.6833794	1.8571429	1	0.25100428	0.2630748	0.39839484	0.39172296	0.26993657	-0.26997487	0.38899366	0.3893255	1.0000014	-0.96773178	0.10251879	0.011196688	1.9620563	0.015841721	1.9635898	0.039395887	1.9873566	0.035040891	1.9855763	0.99998643	-0.82153831	-0.261142	-0.56306187	-0.31523116	-0.56658371	-0.57402396	0.27770599	-0.5561279	-0.30105584	-19.311274	R0:N12:S0:1	0.99998643	b8bd2d5	v2.4.7	Y	fixed_point	5	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@10:28
4s_8b_1sb	-0.96773477	4	0.95871749	-0.65562421	1.8967473	-1.6225076	0.99385098	-0.66989976	1.9829602	-1.6758821	1.8367347	1	0.25041399	0.26312259	0.39884235	0.39176362	0.26944381	-0.27192372	0.38959371	0.38855178	1.0000016	-0.96773477	0.10252015	0.011157452	1.9620372	0.015884126	1.9636033	0.039290629	1.9871996	0.035162917	1.9857282	0.99998415	-0.82153537	-0.26067414	-0.56320107	-0.31565084	-0.56648562	-0.57322912	0.27944177	-0.55708371	-0.29950332	-19.099572	R0:N12:S0:1	0.99998415	b8bd2d5	v2.4.7	Y	fixed_point	6	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@10:29
4s_8b_1sb	-0.96773321	4	0.97511774	-0.63797443	1.9102276	-1.6093849	1.013932	-0.64851388	1.9976976	-1.6500078	1.8163265	1	0.24835306	0.26467404	0.40005808	0.39093132	0.26899443	-0.27123369	0.38945357	0.38865224	1.0000018	-0.96773321	0.10251751	0.011006585	1.9617055	0.016039192	1.9639394	0.039173132	1.9872554	0.035273672	1.9856806	0.99998164	-0.82153654	-0.25887926	-0.565723	-0.31716222	-0.56393389	-0.57236806	0.27883087	-0.55791134	-0.29999047	-18.861719	R0:N12:S0:1	0.99998164	b8bd2d5	v2.4.7	Y	fixed_point	8	sharp_wc_2.0_b_50	parameters	model_1D_4s_8b.py	2026-02-21@10:31
